subproject,gem_id,Library_Confidently_mapped_antisense,Library_Confidently_mapped_to_exonic_regions,Library_Confidently_mapped_to_genome,Library_Confidently_mapped_to_intergenic_regions,Library_Confidently_mapped_to_intronic_regions,Library_Confidently_mapped_to_transcriptome,Library_Estimated_number_of_cells,Library_Fraction_reads_in_cells,Library_Mapped_to_genome,Library_Mean_reads_per_cell,Library_Number_of_reads,Library_Number_of_reads_in_the_library,Library_Sequencing_saturation,Library_Valid_UMIs,Library_Valid_barcodes,Sample_Cells,Sample_Confidently_mapped_antisense,Sample_Confidently_mapped_to_exonic_regions,Sample_Confidently_mapped_to_genome,Sample_Confidently_mapped_to_intergenic_regions,Sample_Confidently_mapped_to_intronic_regions,Sample_Confidently_mapped_to_transcriptome,Sample_Mapped_to_genome,Sample_Median_UMI_counts_per_cell,Sample_Median_genes_per_cell,Sample_Median_reads_per_cell,Sample_Number_of_reads_assigned_to_the_sample,Sample_Total_genes_detected
BCLLATLAS_33,ifZOgenn_TpMNTvBa,21.45%,51.66%,77.50%,14.84%,11.00%,28.81%,"2,947",82.09%,92.98%,"78,537","231,447,964","231,447,964",85.59%,99.98%,65.75%,"2,947",11.49%,60.30%,85.76%,12.69%,12.77%,47.10%,94.38%,"1,724",806,"23,412","108,792,427","18,373"
BCLLATLAS_33,mLuLpVxi_v0fLyotc,21.48%,52.69%,77.90%,14.68%,10.53%,29.79%,"2,649",78.85%,93.83%,"99,117","262,560,787","262,560,787",85.34%,99.98%,65.60%,"2,649",10.83%,61.12%,86.27%,12.81%,12.33%,48.56%,94.76%,"2,214",983,"28,185","119,138,682","18,500"
BCLLATLAS_38,B20O1bh7_VmM99YZJ,17.76%,41.86%,80.99%,25.60%,13.53%,22.90%,"2,269",67.94%,93.24%,"47,267","107,247,956","107,247,956",83.54%,99.98%,62.08%,"2,269",8.64%,52.38%,89.05%,19.66%,17.01%,42.18%,94.70%,721,401,"10,063","35,670,654","15,987"
BCLLATLAS_38,WToIzInl_LudU7hVX,17.37%,40.44%,74.37%,22.00%,11.94%,21.89%,"1,855",76.56%,87.16%,"62,092","115,179,791","115,179,791",88.73%,99.98%,63.99%,"1,855",8.13%,52.77%,87.08%,19.46%,14.84%,43.06%,93.58%,701,387,"14,390","40,554,345","15,558"
BCLLATLAS_38,rdFRFhrU_ZdYeOZlf,17.26%,41.42%,76.75%,23.21%,12.12%,22.97%,"2,565",70.05%,91.71%,"54,023","138,568,762","138,568,762",82.73%,99.98%,63.94%,"2,565",8.99%,53.02%,86.89%,18.56%,15.31%,42.47%,93.81%,925,484,"11,493","47,808,004","16,855"
BCLLATLAS_40,CfdzDgHe_IMOTbrIP,16.60%,39.51%,74.44%,21.73%,13.20%,21.77%,"2,799",77.38%,89.94%,"76,250","213,423,414","213,423,414",86.81%,99.97%,65.06%,"2,799",10.30%,51.00%,85.43%,19.97%,14.46%,39.24%,93.01%,"1,052",547,"20,380","85,342,555","17,351"
BCLLATLAS_40,LxBTpkPO_8TcNpBg4,17.01%,40.63%,71.59%,17.89%,13.08%,22.44%,"3,016",76.09%,84.86%,"70,012","211,155,135","211,155,135",86.07%,99.97%,67.99%,"3,016",11.32%,53.44%,84.64%,15.79%,15.41%,40.55%,91.36%,"1,055",571,"18,500","83,119,200","17,586"
BCLLATLAS_40,pseMjZsU_qgZNOhOQ,16.27%,38.81%,71.42%,19.40%,13.21%,21.42%,"3,022",76.46%,87.16%,"70,408","212,774,320","212,774,320",86.28%,99.97%,66.54%,"3,022",11.40%,51.31%,84.00%,17.39%,15.29%,38.45%,91.73%,"1,004",532,"18,653","84,344,342","17,522"
BCLLATLAS_40,ujxNn2kq_lG2VLlYd,17.80%,41.74%,75.45%,19.73%,13.97%,22.74%,"3,098",72.58%,88.90%,"64,543","199,952,806","199,952,806",86.76%,99.98%,69.18%,"3,098",12.95%,52.71%,85.61%,17.01%,15.89%,38.24%,92.49%,921,510,"17,692","80,769,554","17,417"
BCLLATLAS_40,uqJAc4r9_BYScOzxA,18.75%,44.97%,78.11%,18.79%,14.34%,24.90%,"3,125",76.44%,89.97%,"70,251","219,533,363","219,533,363",85.64%,99.97%,67.05%,"3,125",11.68%,55.09%,86.95%,15.71%,16.15%,41.77%,92.98%,"1,217",630,"19,511","93,239,707","17,943"
BCLLATLAS_46,BZEECBEG_GXkc6Q1y,21.64%,56.70%,86.18%,18.98%,10.50%,33.62%,"4,191",69.58%,96.47%,"57,530","241,107,244","241,107,244",85.70%,99.98%,72.15%,"4,191",15.38%,63.56%,90.24%,14.84%,11.84%,46.51%,96.43%,"1,197",519,"17,764","115,278,426","18,025"
BCLLATLAS_46,HjqdPU0E_aGDmEY5F,19.89%,48.43%,82.92%,24.37%,10.12%,27.28%,"3,166",61.12%,95.97%,"73,122","231,503,427","231,503,427",85.98%,99.97%,63.78%,"3,166",11.03%,56.77%,89.17%,21.28%,11.12%,44.23%,96.33%,"1,002",492,"17,461","81,378,303","17,451"
BCLLATLAS_46,KETfaLdx_Ub1mtE13,21.74%,59.32%,87.69%,17.05%,11.32%,36.02%,"4,498",69.29%,96.24%,"58,930","265,064,893","265,064,893",86.86%,99.97%,74.84%,"4,498",15.56%,64.93%,90.97%,13.42%,12.61%,47.61%,96.35%,"1,206",545,"18,746","132,678,630","18,401"
BCLLATLAS_46,SOJZt9kY_qpnv20QN,19.48%,48.83%,80.14%,22.37%,8.94%,28.06%,"3,574",64.25%,95.41%,"89,037","318,218,563","318,218,563",86.81%,99.97%,63.73%,"3,574",9.90%,56.69%,86.95%,20.64%,9.62%,45.24%,95.78%,"1,264",591,"22,234","118,621,414","18,114"
BCLLATLAS_46,XV1SLOR2_HRF5D9A3,20.18%,52.22%,81.17%,19.53%,9.41%,30.67%,"3,571",65.14%,96.07%,"65,878","235,249,098","235,249,098",82.75%,99.97%,64.86%,"3,571",9.91%,60.27%,87.38%,16.93%,10.18%,48.73%,96.32%,"1,351",634,"16,980","90,579,756","18,436"
