subproject,gem_id,library_id,library_name,type,donor_id
BCLLATLAS_42,ulx1v6sz_8a2nvf1c,182653,BCLL_8_T_1,RNA,BCLL-8-T
BCLLATLAS_43,ulx1v6sz_8a2nvf1c,182657,BCLL_8_T_1,ATAC,BCLL-8-T
BCLLATLAS_42,wdp0p728_jf6w68km,182654,BCLL_8_T_2,RNA,BCLL-8-T
BCLLATLAS_43,wdp0p728_jf6w68km,182658,BCLL_8_T_2,ATAC,BCLL-8-T
BCLLATLAS_42,co7dzuup_xuczw9vc,182655,BCLL_9_T_1,RNA,BCLL-9-T
BCLLATLAS_43,co7dzuup_xuczw9vc,182659,BCLL_9_T_1,ATAC,BCLL-9-T
BCLLATLAS_42,qmzb59ew_t11l8dzm,182656,BCLL_9_T_2,RNA,BCLL-9-T
BCLLATLAS_43,qmzb59ew_t11l8dzm,182660,BCLL_9_T_2,ATAC,BCLL-9-T
BCLLATLAS_47,pd9avu0k_kf9ft6kk,188567,BCLL_14_T_1,RNA,BCLL-14-T
BCLLATLAS_48,pd9avu0k_kf9ft6kk,187660,BCLL_14_T_1_ATAC_multiome,ATAC,BCLL-14-T
BCLLATLAS_47,vuuqir4h_wfkyb5v8,188568,BCLL_14_T_2,RNA,BCLL-14-T
BCLLATLAS_48,vuuqir4h_wfkyb5v8,187661,BCLL_14_T_2_ATAC_multiome,ATAC,BCLL-14-T
BCLLATLAS_47,admae8w2_89i88tvv,188569,BCLL_15_T_1,RNA,BCLL-15-T
BCLLATLAS_48,admae8w2_89i88tvv,187662,BCLL_15_T_1_ATAC_multiome,ATAC,BCLL-15-T
BCLLATLAS_47,sr20954q_yiuuoxng,188570,BCLL_15_T_2,RNA,BCLL-15-T
BCLLATLAS_48,sr20954q_yiuuoxng,187663,BCLL_15_T_2_ATAC_multiome,ATAC,BCLL-15-T
BCLLATLAS_47,kmbfo1ab_ie02b4ny,188571,BCLL_2_T_1,RNA,BCLL-2-T
BCLLATLAS_48,kmbfo1ab_ie02b4ny,187664,BCLL_2_T_1_ATAC_multiome,ATAC,BCLL-2-T
BCLLATLAS_47,ryh4el3i_biv0w7ca,188572,BCLL_2_T_2,RNA,BCLL-2-T
BCLLATLAS_48,ryh4el3i_biv0w7ca,187665,BCLL_2_T_2_ATAC_multiome,ATAC,BCLL-2-T
BCLLATLAS_47,bs2e7lr7_mdfwypvz,188573,BCLL_2_T_3,RNA,BCLL-2-T
BCLLATLAS_48,bs2e7lr7_mdfwypvz,187666,BCLL_2_T_3_ATAC_multiome,ATAC,BCLL-2-T
