subproject,gem_id,library_id,library_name,donor_id
BCLLATLAS_17,jbp85ve3_3179tpob,155165,BCLL_9_T,BCLL-9-T
BCLLATLAS_20,sy59df1i_56bwpc10,155160,BCLL_8_T,BCLL-8-T
BCLLATLAS_20,aks0q3tw_lsr4h73j,155161,BCLL_8_T_FACS,BCLL-8-T
BCLLATLAS_20,fnpetv1y_agr9h7v4,155162,BCLL_9_T_FACS,BCLL-9-T
BCLLATLAS_26,jmjpvq6z_fr6c4nyp,158345,BCLL_10_T,BCLL-10-T
BCLLATLAS_26,yja17lfh_kdslhq0g,158346,BCLL_11_T,BCLL-11-T
BCLLATLAS_26,u51p7uvm_s5fhku31,158347,BCLL_10_T_FACS,BCLL-10-T
BCLLATLAS_26,vcan8qd9_sr5u40yg,158348,BCLL_11_T_FACS,BCLL-11-T
BCLLATLAS_30,dhqzxpdk_h8em75r9,161093,BCLL_12_T,BCLL-12-T
BCLLATLAS_30,lacrul5e_67e3wsyf,161094,BCLL_13_T,BCLL-13-T
BCLLATLAS_30,lzj8c3xo_ytz0xw8m,161092,BCLL_6_T,BCLL-6-T
BCLLATLAS_49,m7maqeew_gt2mrtf3,186746,BCLL_14_T_ATAC,BCLL-14-T
BCLLATLAS_49,xazsjcvt_kzi9e2rf,186747,BCLL_15_T_ATAC,BCLL-15-T
