library_id,fastq_path,read,pair_id,type
173640,/scratch/project/production/fastq/HMFFWDRXX/1/fastq/HMFFWDRXX_1_SI-GA-D10_1.fastq.gz,R1,P1,hashed_cdna
173640,/scratch/project/production/fastq/HMFFWDRXX/2/fastq/HMFFWDRXX_2_SI-GA-D10_1.fastq.gz,R1,P2,hashed_cdna
173640,/scratch/project/production/fastq/HMHKYDRXX/1/fastq/HMHKYDRXX_1_SI-GA-D10_1.fastq.gz,R1,P3,hashed_cdna
173640,/scratch/project/production/fastq/HMHKYDRXX/2/fastq/HMHKYDRXX_2_SI-GA-D10_1.fastq.gz,R1,P4,hashed_cdna
173640,/scratch/project/production/fastq/HMHT2DRXX/1/fastq/HMHT2DRXX_1_SI-GA-D10_1.fastq.gz,R1,P5,hashed_cdna
173640,/scratch/project/production/fastq/HMHT2DRXX/2/fastq/HMHT2DRXX_2_SI-GA-D10_1.fastq.gz,R1,P6,hashed_cdna
173641,/scratch/project/production/fastq/HMFFWDRXX/1/fastq/HMFFWDRXX_1_SI-GA-E10_1.fastq.gz,R1,P7,hashed_cdna
173641,/scratch/project/production/fastq/HMFFWDRXX/2/fastq/HMFFWDRXX_2_SI-GA-E10_1.fastq.gz,R1,P8,hashed_cdna
173641,/scratch/project/production/fastq/HMHT2DRXX/1/fastq/HMHT2DRXX_1_SI-GA-E10_1.fastq.gz,R1,P9,hashed_cdna
173641,/scratch/project/production/fastq/HMHT2DRXX/2/fastq/HMHT2DRXX_2_SI-GA-E10_1.fastq.gz,R1,P10,hashed_cdna
173642,/scratch/project/production/fastq/HMHT2DRXX/1/fastq/HMHT2DRXX_1_SI-GA-F10_1.fastq.gz,R1,P11,not_hashed
173642,/scratch/project/production/fastq/HMHT2DRXX/2/fastq/HMHT2DRXX_2_SI-GA-F10_1.fastq.gz,R1,P12,not_hashed
173643,/scratch/project/production/fastq/HMHT2DRXX/1/fastq/HMHT2DRXX_1_IlluminaTruSeqD703_1.fastq.gz,R1,P13,hashed_hto
173643,/scratch/project/production/fastq/HMHT2DRXX/2/fastq/HMHT2DRXX_2_IlluminaTruSeqD703_1.fastq.gz,R1,P14,hashed_hto
173644,/scratch/project/production/fastq/HMHT2DRXX/1/fastq/HMHT2DRXX_1_IlluminaTruSeqD704_1.fastq.gz,R1,P15,hashed_hto
173644,/scratch/project/production/fastq/HMHT2DRXX/2/fastq/HMHT2DRXX_2_IlluminaTruSeqD704_1.fastq.gz,R1,P16,hashed_hto
173640,/scratch/project/production/fastq/HMFFWDRXX/1/fastq/HMFFWDRXX_1_SI-GA-D10_2.fastq.gz,R2,P1,hashed_cdna
173640,/scratch/project/production/fastq/HMFFWDRXX/2/fastq/HMFFWDRXX_2_SI-GA-D10_2.fastq.gz,R2,P2,hashed_cdna
173640,/scratch/project/production/fastq/HMHKYDRXX/1/fastq/HMHKYDRXX_1_SI-GA-D10_2.fastq.gz,R2,P3,hashed_cdna
173640,/scratch/project/production/fastq/HMHKYDRXX/2/fastq/HMHKYDRXX_2_SI-GA-D10_2.fastq.gz,R2,P4,hashed_cdna
173640,/scratch/project/production/fastq/HMHT2DRXX/1/fastq/HMHT2DRXX_1_SI-GA-D10_2.fastq.gz,R2,P5,hashed_cdna
173640,/scratch/project/production/fastq/HMHT2DRXX/2/fastq/HMHT2DRXX_2_SI-GA-D10_2.fastq.gz,R2,P6,hashed_cdna
173641,/scratch/project/production/fastq/HMFFWDRXX/1/fastq/HMFFWDRXX_1_SI-GA-E10_2.fastq.gz,R2,P7,hashed_cdna
173641,/scratch/project/production/fastq/HMFFWDRXX/2/fastq/HMFFWDRXX_2_SI-GA-E10_2.fastq.gz,R2,P8,hashed_cdna
173641,/scratch/project/production/fastq/HMHT2DRXX/1/fastq/HMHT2DRXX_1_SI-GA-E10_2.fastq.gz,R2,P9,hashed_cdna
173641,/scratch/project/production/fastq/HMHT2DRXX/2/fastq/HMHT2DRXX_2_SI-GA-E10_2.fastq.gz,R2,P10,hashed_cdna
173642,/scratch/project/production/fastq/HMHT2DRXX/1/fastq/HMHT2DRXX_1_SI-GA-F10_2.fastq.gz,R2,P11,not_hashed
173642,/scratch/project/production/fastq/HMHT2DRXX/2/fastq/HMHT2DRXX_2_SI-GA-F10_2.fastq.gz,R2,P12,not_hashed
173643,/scratch/project/production/fastq/HMHT2DRXX/1/fastq/HMHT2DRXX_1_IlluminaTruSeqD703_2.fastq.gz,R2,P13,hashed_hto
173643,/scratch/project/production/fastq/HMHT2DRXX/2/fastq/HMHT2DRXX_2_IlluminaTruSeqD703_2.fastq.gz,R2,P14,hashed_hto
173644,/scratch/project/production/fastq/HMHT2DRXX/1/fastq/HMHT2DRXX_1_IlluminaTruSeqD704_2.fastq.gz,R2,P15,hashed_hto
173644,/scratch/project/production/fastq/HMHT2DRXX/2/fastq/HMHT2DRXX_2_IlluminaTruSeqD704_2.fastq.gz,R2,P16,hashed_hto
