gem_id,Estimated Number of Cells,Mean Reads per Cell,Median Genes per Cell,Number of Reads,Valid Barcodes,Sequencing Saturation,Q30 Bases in Barcode,Q30 Bases in RNA Read,Q30 Bases in UMI,Reads Mapped to Genome,Reads Mapped Confidently to Genome,Reads Mapped Confidently to Intergenic Regions,Reads Mapped Confidently to Intronic Regions,Reads Mapped Confidently to Exonic Regions,Reads Mapped Confidently to Transcriptome,Reads Mapped Antisense to Gene,Fraction Reads in Cells,Total Genes Detected,Median UMI Counts per Cell,Antibody: Number of Reads,Antibody: Mean Reads per Cell,Antibody: Valid Barcodes,Antibody: Sequencing Saturation,Antibody: Q30 Bases in Barcode,Antibody: Q30 Bases in Antibody Read,Antibody: Q30 Bases in UMI,Antibody: Fraction Antibody Reads,Antibody: Fraction Antibody Reads Usable,Antibody: Antibody Reads Usable per Cell,Antibody: Fraction Reads in Barcodes with High UMI Counts,Antibody: Fraction Unrecognized Antibody,Antibody: Antibody Reads in Cells,Antibody: Median UMIs per Cell (summed over all recognized antibody barcodes)
izi9unx1_8qdzhivu,"19,580","20,071",565,"393,002,015",97.4%,62.4%,97.4%,91.6%,97.4%,96.9%,90.6%,5.5%,26.6%,58.5%,56.0%,1.3%,83.3%,"25,933","1,576","8,720,503",445,98.8%,23.4%,99.5%,43.0%,99.4%,95.2%,48.3%,214,0.0%,4.8%,51.3%,90
d8kwy76j_7blj9otf,"23,458","21,100","1,176","494,981,784",97.1%,41.1%,96.9%,80.8%,96.7%,77.5%,74.2%,3.8%,28.3%,42.1%,38.9%,1.9%,90.6%,"26,588","2,800","38,157,086","1,626",99.0%,33.3%,97.7%,65.1%,97.6%,96.5%,60.8%,989,0.0%,3.5%,63.7%,322
giz3qso4_783dbpu6,"24,248","32,838","1,440","796,264,647",97.0%,52.1%,96.1%,80.7%,96.3%,79.4%,76.3%,3.4%,24.3%,48.7%,44.8%,1.8%,88.4%,"27,319","3,975","59,277,922","2,444",99.0%,35.1%,97.7%,64.8%,97.6%,97.1%,63.4%,"1,550",0.0%,2.9%,65.9%,473
i5udk3x0_57gv6ncx,"18,680","23,720","1,312","443,092,189",97.4%,41.8%,96.2%,80.3%,96.1%,78.3%,74.7%,3.6%,21.5%,49.6%,45.9%,1.6%,87.2%,"26,161","3,474","29,588,501","1,583",98.9%,35.6%,97.8%,64.8%,97.6%,96.4%,47.2%,747,0.0%,3.6%,49.4%,244
umt51kfr_p8ei65ms,"21,126","30,271","1,476","639,514,672",97.4%,47.2%,96.2%,80.0%,96.1%,76.6%,73.2%,3.6%,22.4%,47.1%,43.7%,1.6%,89.8%,"26,885","3,875","20,489,244",969,98.9%,33.7%,97.7%,65.5%,97.5%,96.8%,51.6%,500,0.0%,3.2%,53.9%,157
bw94nf57_vm85woki,"24,024","26,566","1,481","638,235,233",96.6%,48.6%,97.0%,94.5%,97.0%,96.7%,91.6%,4.5%,31.6%,55.5%,50.6%,3.3%,85.2%,"27,026","3,920","22,830,949",950,98.8%,45.3%,97.8%,61.7%,97.4%,92.9%,51.8%,491,0.0%,7.1%,56.3%,203
ggq3nifm_jkilwp1x,"27,379","26,026","1,451","712,583,457",96.8%,49.0%,96.9%,95.0%,96.9%,97.1%,92.3%,4.4%,30.4%,57.5%,52.8%,3.1%,86.4%,"27,247","3,949","22,947,172",838,98.9%,48.1%,97.8%,61.0%,97.4%,92.7%,52.0%,435,0.0%,7.3%,56.6%,177
dvcbn9p8_ix0j3k8b,"28,659","28,604","1,481","819,787,582",97.0%,52.3%,96.9%,95.0%,97.1%,97.5%,92.3%,4.4%,30.3%,57.7%,53.4%,2.8%,83.0%,"27,755","3,954","25,757,716",898,99.0%,44.6%,98.4%,64.2%,98.5%,92.6%,50.9%,457,0.0%,7.4%,55.5%,101
ff8s19u3_7e96iusr,"30,163","30,092","1,595","907,683,518",97.1%,51.7%,97.5%,95.7%,97.7%,97.6%,93.4%,4.1%,29.3%,60.1%,56.2%,2.5%,84.2%,"27,903","4,608","28,053,180",930,99.0%,40.5%,98.3%,64.3%,98.4%,93.3%,53.6%,498,0.0%,6.7%,58.1%,123
dvdzq8et_eot75su8,"19,053","49,439","1,924","941,975,034",96.8%,65.2%,96.3%,93.9%,95.3%,97.4%,92.8%,4.3%,24.3%,64.1%,60.8%,1.9%,85.0%,"27,080","5,888","157,876,755","8,286",98.8%,63.7%,97.7%,68.2%,97.7%,91.7%,46.3%,"3,839",0.0%,8.3%,51.0%,560
md651vbh_eymr91s7,"19,024","28,417","1,738","540,617,235",96.7%,41.9%,96.9%,93.1%,97.1%,96.1%,88.5%,5.6%,39.4%,43.4%,39.4%,2.9%,89.0%,"27,364","4,652","259,411,291","13,636",98.8%,36.2%,97.1%,69.3%,97.1%,96.0%,56.4%,"7,695",1.2%,4.0%,59.5%,"3,241"
n1b3su0a_l7shyi35,"12,826","57,650","1,714","739,430,260",96.5%,68.3%,96.9%,93.1%,97.0%,95.9%,86.5%,6.7%,34.5%,45.4%,42.2%,2.1%,87.2%,"26,700","4,754","179,391,632","13,986",98.9%,50.5%,97.0%,68.5%,97.1%,96.1%,44.0%,"6,151",28.9%,3.9%,46.2%,"2,036"
x739d5z1_dsamhgey,"15,457","41,386","1,676","639,715,891",96.9%,63.5%,96.8%,92.5%,97.0%,97.3%,91.5%,4.7%,26.8%,60.1%,56.5%,2.1%,81.8%,"26,501","4,746","186,717,642","12,079",98.8%,67.5%,97.8%,68.4%,97.7%,91.3%,38.6%,"4,663",0.0%,8.7%,42.7%,637
bz5rpwtv_kg7w108r,"24,661","35,722","1,630","880,952,803",96.7%,58.6%,97.1%,95.1%,97.0%,96.9%,92.1%,4.1%,24.7%,63.2%,59.6%,2.3%,84.4%,"27,130","4,716","30,839,209","1,250",98.9%,50.2%,97.8%,60.6%,97.6%,93.0%,48.6%,608,0.0%,7.0%,52.8%,155
wf4su8ny_h4yj8bv7,"24,646","19,400","1,312","478,139,842",96.6%,45.3%,96.6%,94.5%,96.6%,97.5%,92.6%,4.1%,25.3%,63.1%,59.4%,2.4%,84.3%,"26,431","3,399","34,461,302","1,398",98.9%,52.4%,97.8%,60.6%,97.6%,93.2%,45.5%,636,0.0%,6.8%,49.4%,160
kjzv2rwx_sfomyxok,"29,443","25,818","1,384","760,188,511",98.1%,55.1%,97.1%,94.5%,96.8%,97.0%,93.1%,5.2%,33.7%,54.1%,51.2%,1.8%,88.4%,"26,877","3,929","62,416,515","2,119",99.4%,45.3%,97.5%,62.1%,97.0%,94.6%,63.2%,"1,339",0.0%,5.4%,67.2%,261
v8g80gtx_ps9bamz7,"29,401","26,568","1,449","781,131,740",97.3%,51.0%,97.1%,94.4%,96.7%,96.4%,92.0%,5.4%,32.0%,54.6%,51.6%,1.8%,87.9%,"27,087","4,472","44,542,968","1,515",99.0%,57.4%,97.6%,61.4%,97.0%,91.7%,56.9%,861,0.0%,8.3%,62.6%,163
ejto2bae_y5mydeam,"22,847","37,972","1,690","867,549,060",97.9%,64.6%,97.4%,95.2%,97.0%,98.0%,94.2%,4.6%,24.7%,64.9%,61.9%,1.8%,88.5%,"26,938","5,884","55,571,687","2,432",99.2%,49.3%,97.3%,61.8%,96.6%,95.2%,53.5%,"1,301",3.5%,4.8%,56.6%,233
z3of7uaq_mzbhy4tt,"23,056","36,070","1,676","831,630,600",98.0%,62.3%,97.3%,95.1%,96.9%,98.0%,94.1%,4.6%,23.9%,65.6%,62.6%,1.7%,88.4%,"26,962","5,909","61,026,456","2,646",99.3%,49.3%,97.4%,61.7%,96.7%,95.4%,56.9%,"1,507",2.4%,4.6%,60.1%,247
